iter	SurvivalAft	SurvivalAft:dist=Normal;scale=1.2
0	3.430100722	3.430100722
1	3.381450773	3.381450773
2	3.334423035	3.334423035
3	3.290617381	3.290617381
4	3.241296374	3.241296374
5	3.192516102	3.192516102
6	3.139384564	3.139384564
7	3.087824855	3.087824855
8	3.041315703	3.041315703
9	2.997924096	2.997924096
10	2.948337513	2.948337513
11	2.90289908	2.90289908
12	2.847784888	2.847784888
13	2.797106015	2.797106015
14	2.744889674	2.744889674
15	2.690734025	2.690734025
16	2.643142817	2.643142817
17	2.59512424	2.59512424
18	2.544940602	2.544940602
19	2.498246807	2.498246807
20	2.447978239	2.447978239
21	2.399616716	2.399616716
22	2.351742268	2.351742268
23	2.318605873	2.318605873
24	2.274305139	2.274305139
25	2.231723513	2.231723513
26	2.199244976	2.199244976
27	2.161458861	2.161458861
28	2.117297832	2.117297832
29	2.073172731	2.073172731
30	2.027806687	2.027806687
31	1.983111021	1.983111021
32	1.950726739	1.950726739
33	1.912305138	1.912305138
34	1.872152008	1.872152008
35	1.832141538	1.832141538
36	1.798061122	1.798061122
37	1.762192736	1.762192736
38	1.731235357	1.731235357
39	1.695886815	1.695886815
40	1.660989859	1.660989859
41	1.629659719	1.629659719
42	1.599251366	1.599251366
43	1.575104335	1.575104335
44	1.55010672	1.55010672
45	1.524321165	1.524321165
46	1.500915713	1.500915713
47	1.478734436	1.478734436
48	1.453877665	1.453877665
49	1.430935354	1.430935354
50	1.410817833	1.410817833
51	1.389443968	1.389443968
52	1.371896412	1.371896412
53	1.351038424	1.351038424
54	1.332456307	1.332456307
55	1.315899338	1.315899338
56	1.296551458	1.296551458
57	1.280420491	1.280420491
58	1.26100331	1.26100331
59	1.247528464	1.247528464
60	1.235138722	1.235138722
61	1.222685276	1.222685276
62	1.208857312	1.208857312
63	1.194486726	1.194486726
64	1.182265529	1.182265529
65	1.171007865	1.171007865
66	1.162743003	1.162743003
67	1.149596351	1.149596351
68	1.14137911	1.14137911
69	1.133713678	1.133713678
70	1.126508832	1.126508832
71	1.119385814	1.119385814
72	1.11371301	1.11371301
73	1.103827535	1.103827535
74	1.09413472	1.09413472
75	1.083914488	1.083914488
76	1.079996637	1.079996637
77	1.077077565	1.077077565
78	1.073717472	1.073717472
79	1.070919191	1.070919191
80	1.069058729	1.069058729
81	1.067791817	1.067791817
82	1.066785814	1.066785814
83	1.066217202	1.066217202
84	1.060950297	1.060950297
85	1.05741883	1.05741883
86	1.05511783	1.05511783
87	1.054589576	1.054589576
88	1.052796512	1.052796512
89	1.050632131	1.050632131
90	1.049842437	1.049842437
91	1.049163376	1.049163376
92	1.051033398	1.051033398
93	1.051687602	1.051687602
94	1.051991995	1.051991995
95	1.049924437	1.049924437
96	1.052229576	1.052229576
97	1.053988565	1.053988565
98	1.056796129	1.056796129
99	1.0569063	1.0569063
100	1.055459588	1.055459588
101	1.054403495	1.054403495
102	1.056715084	1.056715084
103	1.058587945	1.058587945
104	1.061669057	1.061669057
105	1.064029829	1.064029829
106	1.062192808	1.062192808
107	1.064577642	1.064577642
108	1.067079182	1.067079182
109	1.07017646	1.07017646
110	1.069486136	1.069486136
111	1.07107445	1.07107445
112	1.073479474	1.073479474
113	1.07504342	1.07504342
114	1.073065993	1.073065993
115	1.075030556	1.075030556
116	1.077123481	1.077123481
117	1.07703986	1.07703986
118	1.075917609	1.075917609
119	1.07256359	1.07256359
120	1.070410919	1.070410919
121	1.069397778	1.069397778
122	1.070759142	1.070759142
123	1.072595749	1.072595749
124	1.074651873	1.074651873
125	1.07507316	1.07507316
126	1.074819472	1.074819472
127	1.074642701	1.074642701
128	1.075019885	1.075019885
129	1.073711403	1.073711403
130	1.072213499	1.072213499
131	1.071081189	1.071081189
132	1.071419874	1.071419874
133	1.0719393	1.0719393
134	1.07270436	1.07270436
135	1.07080105	1.07080105
136	1.072374998	1.072374998
137	1.071677737	1.071677737
138	1.068909751	1.068909751
139	1.068270446	1.068270446
140	1.066509089	1.066509089
141	1.067739901	1.067739901
142	1.06784228	1.06784228
143	1.067065711	1.067065711
144	1.068742795	1.068742795
145	1.069421259	1.069421259
146	1.070710378	1.070710378
147	1.071876359	1.071876359
148	1.071337093	1.071337093
149	1.073063712	1.073063712
150	1.074043479	1.074043479
151	1.075072969	1.075072969
152	1.076044631	1.076044631
153	1.076229469	1.076229469
154	1.078173641	1.078173641
155	1.080063304	1.080063304
156	1.079210711	1.079210711
157	1.078563225	1.078563225
158	1.076541135	1.076541135
159	1.076815451	1.076815451
160	1.077612814	1.077612814
161	1.079248576	1.079248576
162	1.079882143	1.079882143
163	1.077927582	1.077927582
164	1.076334688	1.076334688
165	1.076974001	1.076974001
166	1.077467547	1.077467547
167	1.079085964	1.079085964
168	1.076546821	1.076546821
169	1.076671028	1.076671028
170	1.077098398	1.077098398
171	1.076178283	1.076178283
172	1.077052133	1.077052133
173	1.076388365	1.076388365
174	1.077247144	1.077247144
175	1.077495111	1.077495111
176	1.078301997	1.078301997
177	1.077262198	1.077262198
178	1.076042956	1.076042956
179	1.072463689	1.072463689
180	1.07364398	1.07364398
181	1.074248441	1.074248441
182	1.074044416	1.074044416
183	1.071742614	1.071742614
184	1.072431301	1.072431301
185	1.071376283	1.071376283
186	1.069823388	1.069823388
187	1.069652733	1.069652733
188	1.066890948	1.066890948
189	1.064900533	1.064900533
190	1.06608027	1.06608027
191	1.06546714	1.06546714
192	1.06602325	1.06602325
193	1.065555799	1.065555799
194	1.064171118	1.064171118
195	1.064372271	1.064372271
196	1.063576581	1.063576581
197	1.062621885	1.062621885
198	1.062412975	1.062412975
199	1.062313073	1.062313073
200	1.062787569	1.062787569
201	1.060964682	1.060964682
202	1.060840963	1.060840963
203	1.060281812	1.060281812
204	1.061328755	1.061328755
205	1.060556013	1.060556013
206	1.060932281	1.060932281
207	1.061397249	1.061397249
208	1.061798797	1.061798797
209	1.061868231	1.061868231
210	1.06220273	1.06220273
211	1.061854439	1.061854439
212	1.061656653	1.061656653
213	1.061101232	1.061101232
214	1.059150238	1.059150238
215	1.059623396	1.059623396
216	1.060082716	1.060082716
217	1.060364308	1.060364308
218	1.057633055	1.057633055
219	1.056786681	1.056786681
220	1.057372475	1.057372475
221	1.057202673	1.057202673
222	1.057980076	1.057980076
223	1.058190647	1.058190647
224	1.058079644	1.058079644
225	1.057695438	1.057695438
226	1.056285652	1.056285652
227	1.056799246	1.056799246
228	1.05348095	1.05348095
229	1.053893778	1.053893778
230	1.054577222	1.054577222
231	1.055033965	1.055033965
232	1.055478284	1.055478284
233	1.054075347	1.054075347
234	1.05379029	1.05379029
235	1.053951917	1.053951917
236	1.05395782	1.05395782
237	1.053611734	1.053611734
238	1.05304227	1.05304227
239	1.053758202	1.053758202
240	1.053462594	1.053462594
241	1.054297387	1.054297387
242	1.053399941	1.053399941
243	1.054036085	1.054036085
244	1.051277598	1.051277598
245	1.049745485	1.049745485
246	1.049218347	1.049218347
247	1.049424868	1.049424868
248	1.049993344	1.049993344
249	1.048532836	1.048532836
250	1.047192136	1.047192136
251	1.047063811	1.047063811
252	1.047367287	1.047367287
253	1.045459763	1.045459763
254	1.045920041	1.045920041
255	1.044272276	1.044272276
256	1.043703663	1.043703663
257	1.043595967	1.043595967
258	1.040929886	1.040929886
259	1.041253065	1.041253065
260	1.041457204	1.041457204
261	1.041683478	1.041683478
262	1.041286535	1.041286535
263	1.04134524	1.04134524
264	1.039761114	1.039761114
265	1.038155255	1.038155255
266	1.038676155	1.038676155
267	1.038496427	1.038496427
268	1.038848079	1.038848079
269	1.03715936	1.03715936
270	1.037104647	1.037104647
271	1.037124623	1.037124623
272	1.036087522	1.036087522
273	1.03541841	1.03541841
274	1.035336561	1.035336561
275	1.03475374	1.03475374
276	1.03301039	1.03301039
277	1.032410129	1.032410129
278	1.032458712	1.032458712
279	1.031171516	1.031171516
280	1.029431842	1.029431842
281	1.028896998	1.028896998
282	1.028479789	1.028479789
283	1.027225839	1.027225839
284	1.027210129	1.027210129
285	1.02620046	1.02620046
286	1.026510735	1.026510735
287	1.025245651	1.025245651
288	1.024743888	1.024743888
289	1.023585649	1.023585649
290	1.023566618	1.023566618
291	1.02294663	1.02294663
292	1.021385879	1.021385879
293	1.018754404	1.018754404
294	1.019088987	1.019088987
295	1.019417175	1.019417175
296	1.020343901	1.020343901
297	1.018954471	1.018954471
298	1.017260507	1.017260507
299	1.018585199	1.018585199
300	1.018637172	1.018637172
301	1.018079556	1.018079556
302	1.017124437	1.017124437
303	1.017375819	1.017375819
304	1.017383714	1.017383714
305	1.016710926	1.016710926
306	1.01714996	1.01714996
307	1.017396357	1.017396357
308	1.017397218	1.017397218
309	1.016627036	1.016627036
310	1.015191834	1.015191834
311	1.01522105	1.01522105
312	1.0147704	1.0147704
313	1.013637291	1.013637291
314	1.012720371	1.012720371
315	1.01267486	1.01267486
316	1.012749642	1.012749642
317	1.012173452	1.012173452
318	1.012613846	1.012613846
319	1.012132252	1.012132252
320	1.01240636	1.01240636
321	1.011486891	1.011486891
322	1.011285027	1.011285027
323	1.010379293	1.010379293
324	1.008631118	1.008631118
325	1.009197259	1.009197259
326	1.00851294	1.00851294
327	1.008449147	1.008449147
328	1.007780503	1.007780503
329	1.007823911	1.007823911
330	1.006208034	1.006208034
331	1.006280204	1.006280204
332	1.00570098	1.00570098
333	1.005817624	1.005817624
334	1.004524517	1.004524517
335	1.004377128	1.004377128
336	1.003733527	1.003733527
337	1.003671815	1.003671815
338	1.003626356	1.003626356
339	1.003364768	1.003364768
340	1.001725559	1.001725559
341	1.001769022	1.001769022
342	1.001144288	1.001144288
343	1.000921029	1.000921029
344	1.001211736	1.001211736
345	1.001408813	1.001408813
346	1.00117157	1.00117157
347	1.000967837	1.000967837
348	1.001009151	1.001009151
349	0.9996583395	0.9996583395
350	0.9978058231	0.9978058231
351	0.9975873013	0.9975873013
352	0.9972472512	0.9972472512
353	0.9967726086	0.9967726086
354	0.9965241459	0.9965241459
355	0.9954570817	0.9954570817
356	0.99429833	0.99429833
357	0.9937531731	0.9937531731
358	0.9932985214	0.9932985214
359	0.9910920877	0.9910920877
360	0.9909954996	0.9909954996
361	0.9909112416	0.9909112416
362	0.9903876029	0.9903876029
363	0.9904122931	0.9904122931
364	0.9884707011	0.9884707011
365	0.988139742	0.988139742
366	0.986369757	0.986369757
367	0.9852601764	0.9852601764
368	0.9837889152	0.9837889152
369	0.9818006434	0.9818006434
370	0.9802527659	0.9802527659
371	0.979703831	0.979703831
372	0.9789247866	0.9789247866
373	0.9789774633	0.9789774633
374	0.9793112956	0.9793112956
375	0.9794151052	0.9794151052
376	0.9789598901	0.9789598901
377	0.9792355376	0.9792355376
378	0.9795294508	0.9795294508
379	0.9782562335	0.9782562335
380	0.9784756412	0.9784756412
381	0.9774585391	0.9774585391
382	0.9762307352	0.9762307352
383	0.9768127393	0.9768127393
384	0.9761546991	0.9761546991
385	0.9760330183	0.9760330183
386	0.9739959422	0.9739959422
387	0.9731470328	0.9731470328
388	0.9724913056	0.9724913056
389	0.9726114951	0.9726114951
390	0.9720208529	0.9720208529
391	0.971405032	0.971405032
392	0.9713269867	0.9713269867
393	0.9713495396	0.9713495396
394	0.9709446431	0.9709446431
395	0.9709705528	0.9709705528
396	0.9713062624	0.9713062624
397	0.9708946293	0.9708946293
398	0.9711746672	0.9711746672
399	0.971309245	0.971309245
400	0.9706691637	0.9706691637
401	0.9703585283	0.9703585283
402	0.9704329841	0.9704329841
403	0.9705852213	0.9705852213
404	0.9694181094	0.9694181094
405	0.9660978467	0.9660978467
406	0.9642537979	0.9642537979
407	0.9639882192	0.9639882192
408	0.9635145433	0.9635145433
409	0.9624442306	0.9624442306
410	0.9624688578	0.9624688578
411	0.9622304829	0.9622304829
412	0.9616228201	0.9616228201
413	0.9620719036	0.9620719036
414	0.9619521167	0.9619521167
415	0.9617031031	0.9617031031
416	0.960909586	0.960909586
417	0.9606117895	0.9606117895
418	0.9608006136	0.9608006136
419	0.9602615794	0.9602615794
420	0.9608198747	0.9608198747
421	0.9609233599	0.9609233599
422	0.9612573636	0.9612573636
423	0.9597517096	0.9597517096
424	0.9595788253	0.9595788253
425	0.9596696967	0.9596696967
426	0.959318029	0.959318029
427	0.9587625086	0.9587625086
428	0.9576789271	0.9576789271
429	0.9577282706	0.9577282706
430	0.9567015441	0.9567015441
431	0.9561548623	0.9561548623
432	0.9553526716	0.9553526716
433	0.9544145821	0.9544145821
434	0.9545888907	0.9545888907
435	0.9541221394	0.9541221394
436	0.953454825	0.953454825
437	0.953523416	0.953523416
438	0.9536194446	0.9536194446
439	0.9526857517	0.9526857517
440	0.9519542112	0.9519542112
441	0.951599866	0.951599866
442	0.9519317306	0.9519317306
443	0.9512133657	0.9512133657
444	0.9505150272	0.9505150272
445	0.9501729709	0.9501729709
446	0.9493304525	0.9493304525
447	0.9493165463	0.9493165463
448	0.9484095959	0.9484095959
449	0.9465047495	0.9465047495
450	0.946054388	0.946054388
451	0.9460965395	0.9460965395
452	0.9463135042	0.9463135042
453	0.9461423115	0.9461423115
454	0.9462109999	0.9462109999
455	0.9444724956	0.9444724956
456	0.9420964189	0.9420964189
457	0.9420387134	0.9420387134
458	0.9396002011	0.9396002011
459	0.9393527585	0.9393527585
460	0.93919705	0.93919705
461	0.9384078619	0.9384078619
462	0.937846095	0.937846095
463	0.9354816801	0.9354816801
464	0.935562548	0.935562548
465	0.9350116789	0.9350116789
466	0.9354591778	0.9354591778
467	0.9352953757	0.9352953757
468	0.9344016451	0.9344016451
469	0.9318829087	0.9318829087
470	0.9306406498	0.9306406498
471	0.929065104	0.929065104
472	0.9283008641	0.9283008641
473	0.9280569359	0.9280569359
474	0.9266588485	0.9266588485
475	0.9259626895	0.9259626895
476	0.9259194092	0.9259194092
477	0.924766792	0.924766792
478	0.9244419837	0.9244419837
479	0.9246588532	0.9246588532
480	0.9246640275	0.9246640275
481	0.9233888139	0.9233888139
482	0.9237434751	0.9237434751
483	0.9229806102	0.9229806102
484	0.9230708195	0.9230708195
485	0.9231400603	0.9231400603
486	0.9226059347	0.9226059347
487	0.9215819015	0.9215819015
488	0.9214858495	0.9214858495
489	0.9212721758	0.9212721758
490	0.9204714477	0.9204714477
491	0.9196428001	0.9196428001
492	0.919545252	0.919545252
493	0.9186970866	0.9186970866
494	0.9185343931	0.9185343931
495	0.9185485648	0.9185485648
496	0.9181535337	0.9181535337
497	0.9167615822	0.9167615822
498	0.916234105	0.916234105
499	0.9162692213	0.9162692213
